them,us,themValue,usValue,theirSelection,ourSelection,WinLose
A,Z,4,4,Rock,Rock,Tie
C,Y,9,2,Scissors,Paper,Loss
B,Z,8,1,Paper,Rock,Loss
C,Y,9,2,Scissors,Paper,Loss
C,Y,9,2,Scissors,Paper,Loss
B,Y,5,5,Paper,Paper,Tie
C,X,6,6,Scissors,Scissors,Tie
B,X,2,9,Paper,Scissors,Win
A,X,1,9,Rock,Scissors,Win
A,Z,4,4,Rock,Rock,Tie
C,Z,9,1,Scissors,Rock,Loss
B,X,2,9,Paper,Scissors,Win
B,X,2,9,Paper,Scissors,Win
B,X,2,9,Paper,Scissors,Win
B,Z,8,1,Paper,Rock,Loss
B,Y,5,5,Paper,Paper,Tie
B,Z,8,1,Paper,Rock,Loss
C,Y,9,2,Scissors,Paper,Loss
B,Y,5,5,Paper,Paper,Tie
C,Y,9,2,Scissors,Paper,Loss
C,Z,9,1,Scissors,Rock,Loss
A,Z,4,4,Rock,Rock,Tie
A,X,1,9,Rock,Scissors,Win
B,Y,5,5,Paper,Paper,Tie
B,Y,5,5,Paper,Paper,Tie
B,Y,5,5,Paper,Paper,Tie
B,Y,5,5,Paper,Paper,Tie
C,X,6,6,Scissors,Scissors,Tie
B,Y,5,5,Paper,Paper,Tie
B,Y,5,5,Paper,Paper,Tie
A,X,1,9,Rock,Scissors,Win
C,X,6,6,Scissors,Scissors,Tie
B,Y,5,5,Paper,Paper,Tie
C,Z,9,1,Scissors,Rock,Loss
C,Y,9,2,Scissors,Paper,Loss
A,Z,4,4,Rock,Rock,Tie
A,Y,1,8,Rock,Paper,Win
B,Y,5,5,Paper,Paper,Tie
C,Y,9,2,Scissors,Paper,Loss
B,Y,5,5,Paper,Paper,Tie
C,X,6,6,Scissors,Scissors,Tie
C,X,6,6,Scissors,Scissors,Tie
B,Y,5,5,Paper,Paper,Tie
B,Y,5,5,Paper,Paper,Tie
B,Y,5,5,Paper,Paper,Tie
C,Y,9,2,Scissors,Paper,Loss
A,Z,4,4,Rock,Rock,Tie
A,Y,1,8,Rock,Paper,Win
C,X,6,6,Scissors,Scissors,Tie
A,Z,4,4,Rock,Rock,Tie
A,Z,4,4,Rock,Rock,Tie
B,Y,5,5,Paper,Paper,Tie
C,X,6,6,Scissors,Scissors,Tie
C,Y,9,2,Scissors,Paper,Loss
B,Y,5,5,Paper,Paper,Tie
B,Y,5,5,Paper,Paper,Tie
C,Y,9,2,Scissors,Paper,Loss
C,X,6,6,Scissors,Scissors,Tie
B,X,2,9,Paper,Scissors,Win
C,Y,9,2,Scissors,Paper,Loss
B,X,2,9,Paper,Scissors,Win
A,Z,4,4,Rock,Rock,Tie
B,Y,5,5,Paper,Paper,Tie
C,X,6,6,Scissors,Scissors,Tie
B,X,2,9,Paper,Scissors,Win
C,Y,9,2,Scissors,Paper,Loss
C,Y,9,2,Scissors,Paper,Loss
A,Z,4,4,Rock,Rock,Tie
B,Y,5,5,Paper,Paper,Tie
A,Z,4,4,Rock,Rock,Tie
C,Y,9,2,Scissors,Paper,Loss
A,Z,4,4,Rock,Rock,Tie
A,Z,4,4,Rock,Rock,Tie
C,Z,9,1,Scissors,Rock,Loss
C,X,6,6,Scissors,Scissors,Tie
C,Y,9,2,Scissors,Paper,Loss
A,Z,4,4,Rock,Rock,Tie
C,Z,9,1,Scissors,Rock,Loss
A,Z,4,4,Rock,Rock,Tie
B,Y,5,5,Paper,Paper,Tie
A,X,1,9,Rock,Scissors,Win
B,Y,5,5,Paper,Paper,Tie
B,Y,5,5,Paper,Paper,Tie
A,Z,4,4,Rock,Rock,Tie
C,X,6,6,Scissors,Scissors,Tie
B,Z,8,1,Paper,Rock,Loss
B,Y,5,5,Paper,Paper,Tie
C,X,6,6,Scissors,Scissors,Tie
A,Y,1,8,Rock,Paper,Win
B,Y,5,5,Paper,Paper,Tie
A,Z,4,4,Rock,Rock,Tie
C,Z,9,1,Scissors,Rock,Loss
A,Z,4,4,Rock,Rock,Tie
A,Z,4,4,Rock,Rock,Tie
A,Z,4,4,Rock,Rock,Tie
B,Y,5,5,Paper,Paper,Tie
B,Y,5,5,Paper,Paper,Tie
B,X,2,9,Paper,Scissors,Win
B,Y,5,5,Paper,Paper,Tie
B,Y,5,5,Paper,Paper,Tie
B,Y,5,5,Paper,Paper,Tie
C,Z,9,1,Scissors,Rock,Loss
B,Y,5,5,Paper,Paper,Tie
A,Z,4,4,Rock,Rock,Tie
C,X,6,6,Scissors,Scissors,Tie
C,Z,9,1,Scissors,Rock,Loss
A,Z,4,4,Rock,Rock,Tie
C,Z,9,1,Scissors,Rock,Loss
C,Y,9,2,Scissors,Paper,Loss
B,Y,5,5,Paper,Paper,Tie
C,Y,9,2,Scissors,Paper,Loss
B,X,2,9,Paper,Scissors,Win
C,Y,9,2,Scissors,Paper,Loss
B,Y,5,5,Paper,Paper,Tie
A,Z,4,4,Rock,Rock,Tie
B,Y,5,5,Paper,Paper,Tie
C,X,6,6,Scissors,Scissors,Tie
B,Y,5,5,Paper,Paper,Tie
A,Z,4,4,Rock,Rock,Tie
C,Y,9,2,Scissors,Paper,Loss
B,Y,5,5,Paper,Paper,Tie
C,Y,9,2,Scissors,Paper,Loss
C,Z,9,1,Scissors,Rock,Loss
A,X,1,9,Rock,Scissors,Win
B,X,2,9,Paper,Scissors,Win
C,X,6,6,Scissors,Scissors,Tie
B,X,2,9,Paper,Scissors,Win
A,X,1,9,Rock,Scissors,Win
B,Y,5,5,Paper,Paper,Tie
A,X,1,9,Rock,Scissors,Win
C,Z,9,1,Scissors,Rock,Loss
B,Y,5,5,Paper,Paper,Tie
C,Z,9,1,Scissors,Rock,Loss
B,Y,5,5,Paper,Paper,Tie
B,Y,5,5,Paper,Paper,Tie
C,Z,9,1,Scissors,Rock,Loss
B,Y,5,5,Paper,Paper,Tie
A,Y,1,8,Rock,Paper,Win
C,Z,9,1,Scissors,Rock,Loss
B,Z,8,1,Paper,Rock,Loss
A,Z,4,4,Rock,Rock,Tie
C,X,6,6,Scissors,Scissors,Tie
A,Z,4,4,Rock,Rock,Tie
A,Z,4,4,Rock,Rock,Tie
B,Y,5,5,Paper,Paper,Tie
B,Y,5,5,Paper,Paper,Tie
C,Y,9,2,Scissors,Paper,Loss
C,Z,9,1,Scissors,Rock,Loss
C,X,6,6,Scissors,Scissors,Tie
A,Y,1,8,Rock,Paper,Win
B,Y,5,5,Paper,Paper,Tie
B,Y,5,5,Paper,Paper,Tie
A,X,1,9,Rock,Scissors,Win
A,Y,1,8,Rock,Paper,Win
B,X,2,9,Paper,Scissors,Win
C,Z,9,1,Scissors,Rock,Loss
C,Z,9,1,Scissors,Rock,Loss
B,Y,5,5,Paper,Paper,Tie
C,Y,9,2,Scissors,Paper,Loss
B,Y,5,5,Paper,Paper,Tie
C,X,6,6,Scissors,Scissors,Tie
B,Z,8,1,Paper,Rock,Loss
A,Z,4,4,Rock,Rock,Tie
A,Z,4,4,Rock,Rock,Tie
B,Y,5,5,Paper,Paper,Tie
A,Y,1,8,Rock,Paper,Win
A,Y,1,8,Rock,Paper,Win
A,X,1,9,Rock,Scissors,Win
A,Z,4,4,Rock,Rock,Tie
B,Y,5,5,Paper,Paper,Tie
A,X,1,9,Rock,Scissors,Win
B,Z,8,1,Paper,Rock,Loss
C,Z,9,1,Scissors,Rock,Loss
B,X,2,9,Paper,Scissors,Win
C,Z,9,1,Scissors,Rock,Loss
B,X,2,9,Paper,Scissors,Win
B,Y,5,5,Paper,Paper,Tie
A,Y,1,8,Rock,Paper,Win
B,X,2,9,Paper,Scissors,Win
A,Z,4,4,Rock,Rock,Tie
A,Z,4,4,Rock,Rock,Tie
C,Z,9,1,Scissors,Rock,Loss
A,X,1,9,Rock,Scissors,Win
C,Z,9,1,Scissors,Rock,Loss
B,Y,5,5,Paper,Paper,Tie
A,Y,1,8,Rock,Paper,Win
C,Z,9,1,Scissors,Rock,Loss
C,X,6,6,Scissors,Scissors,Tie
B,Y,5,5,Paper,Paper,Tie
B,Y,5,5,Paper,Paper,Tie
A,X,1,9,Rock,Scissors,Win
C,Y,9,2,Scissors,Paper,Loss
C,X,6,6,Scissors,Scissors,Tie
C,Y,9,2,Scissors,Paper,Loss
C,X,6,6,Scissors,Scissors,Tie
A,X,1,9,Rock,Scissors,Win
B,Y,5,5,Paper,Paper,Tie
B,X,2,9,Paper,Scissors,Win
B,Y,5,5,Paper,Paper,Tie
C,Y,9,2,Scissors,Paper,Loss
C,Y,9,2,Scissors,Paper,Loss
C,X,6,6,Scissors,Scissors,Tie
A,Y,1,8,Rock,Paper,Win
A,Z,4,4,Rock,Rock,Tie
C,Y,9,2,Scissors,Paper,Loss
C,Y,9,2,Scissors,Paper,Loss
B,Y,5,5,Paper,Paper,Tie
B,X,2,9,Paper,Scissors,Win
B,Y,5,5,Paper,Paper,Tie
B,X,2,9,Paper,Scissors,Win
A,Z,4,4,Rock,Rock,Tie
A,Z,4,4,Rock,Rock,Tie
C,Z,9,1,Scissors,Rock,Loss
B,Y,5,5,Paper,Paper,Tie
B,Y,5,5,Paper,Paper,Tie
B,Y,5,5,Paper,Paper,Tie
B,X,2,9,Paper,Scissors,Win
C,Z,9,1,Scissors,Rock,Loss
A,Y,1,8,Rock,Paper,Win
A,Z,4,4,Rock,Rock,Tie
B,Y,5,5,Paper,Paper,Tie
B,Y,5,5,Paper,Paper,Tie
B,Y,5,5,Paper,Paper,Tie
B,X,2,9,Paper,Scissors,Win
A,X,1,9,Rock,Scissors,Win
B,Y,5,5,Paper,Paper,Tie
C,Z,9,1,Scissors,Rock,Loss
A,Z,4,4,Rock,Rock,Tie
A,Z,4,4,Rock,Rock,Tie
C,Y,9,2,Scissors,Paper,Loss
C,Y,9,2,Scissors,Paper,Loss
B,Y,5,5,Paper,Paper,Tie
B,Y,5,5,Paper,Paper,Tie
A,Z,4,4,Rock,Rock,Tie
B,Y,5,5,Paper,Paper,Tie
A,X,1,9,Rock,Scissors,Win
A,Z,4,4,Rock,Rock,Tie
C,Z,9,1,Scissors,Rock,Loss
A,Z,4,4,Rock,Rock,Tie
B,Y,5,5,Paper,Paper,Tie
C,X,6,6,Scissors,Scissors,Tie
B,Y,5,5,Paper,Paper,Tie
A,X,1,9,Rock,Scissors,Win
B,Y,5,5,Paper,Paper,Tie
B,X,2,9,Paper,Scissors,Win
B,Y,5,5,Paper,Paper,Tie
B,X,2,9,Paper,Scissors,Win
C,X,6,6,Scissors,Scissors,Tie
A,Z,4,4,Rock,Rock,Tie
C,Z,9,1,Scissors,Rock,Loss
C,Z,9,1,Scissors,Rock,Loss
B,X,2,9,Paper,Scissors,Win
A,Z,4,4,Rock,Rock,Tie
B,Y,5,5,Paper,Paper,Tie
A,Z,4,4,Rock,Rock,Tie
B,X,2,9,Paper,Scissors,Win
B,Y,5,5,Paper,Paper,Tie
A,Z,4,4,Rock,Rock,Tie
C,Y,9,2,Scissors,Paper,Loss
B,Y,5,5,Paper,Paper,Tie
A,Z,4,4,Rock,Rock,Tie
A,X,1,9,Rock,Scissors,Win
B,Y,5,5,Paper,Paper,Tie
A,Z,4,4,Rock,Rock,Tie
B,Y,5,5,Paper,Paper,Tie
B,Y,5,5,Paper,Paper,Tie
C,Y,9,2,Scissors,Paper,Loss
A,Z,4,4,Rock,Rock,Tie
B,Y,5,5,Paper,Paper,Tie
B,Y,5,5,Paper,Paper,Tie
C,Y,9,2,Scissors,Paper,Loss
A,Z,4,4,Rock,Rock,Tie
C,Z,9,1,Scissors,Rock,Loss
A,Z,4,4,Rock,Rock,Tie
C,Z,9,1,Scissors,Rock,Loss
B,Y,5,5,Paper,Paper,Tie
A,Z,4,4,Rock,Rock,Tie
B,Y,5,5,Paper,Paper,Tie
A,Z,4,4,Rock,Rock,Tie
C,Y,9,2,Scissors,Paper,Loss
B,Y,5,5,Paper,Paper,Tie
A,X,1,9,Rock,Scissors,Win
A,Z,4,4,Rock,Rock,Tie
B,Y,5,5,Paper,Paper,Tie
B,Y,5,5,Paper,Paper,Tie
C,Z,9,1,Scissors,Rock,Loss
C,Z,9,1,Scissors,Rock,Loss
C,Z,9,1,Scissors,Rock,Loss
B,Y,5,5,Paper,Paper,Tie
C,Y,9,2,Scissors,Paper,Loss
A,X,1,9,Rock,Scissors,Win
C,X,6,6,Scissors,Scissors,Tie
A,X,1,9,Rock,Scissors,Win
C,Y,9,2,Scissors,Paper,Loss
A,Y,1,8,Rock,Paper,Win
B,X,2,9,Paper,Scissors,Win
B,Y,5,5,Paper,Paper,Tie
C,Z,9,1,Scissors,Rock,Loss
B,Y,5,5,Paper,Paper,Tie
B,Y,5,5,Paper,Paper,Tie
B,X,2,9,Paper,Scissors,Win
C,Z,9,1,Scissors,Rock,Loss
B,Y,5,5,Paper,Paper,Tie
C,X,6,6,Scissors,Scissors,Tie
A,Z,4,4,Rock,Rock,Tie
C,X,6,6,Scissors,Scissors,Tie
B,Y,5,5,Paper,Paper,Tie
A,X,1,9,Rock,Scissors,Win
C,X,6,6,Scissors,Scissors,Tie
C,Y,9,2,Scissors,Paper,Loss
A,Z,4,4,Rock,Rock,Tie
A,X,1,9,Rock,Scissors,Win
C,Z,9,1,Scissors,Rock,Loss
C,Z,9,1,Scissors,Rock,Loss
B,Y,5,5,Paper,Paper,Tie
C,Y,9,2,Scissors,Paper,Loss
A,Y,1,8,Rock,Paper,Win
A,Z,4,4,Rock,Rock,Tie
A,Y,1,8,Rock,Paper,Win
C,X,6,6,Scissors,Scissors,Tie
C,X,6,6,Scissors,Scissors,Tie
B,Y,5,5,Paper,Paper,Tie
C,Y,9,2,Scissors,Paper,Loss
B,Y,5,5,Paper,Paper,Tie
A,Z,4,4,Rock,Rock,Tie
C,X,6,6,Scissors,Scissors,Tie
B,Y,5,5,Paper,Paper,Tie
C,Y,9,2,Scissors,Paper,Loss
A,X,1,9,Rock,Scissors,Win
A,Z,4,4,Rock,Rock,Tie
C,Y,9,2,Scissors,Paper,Loss
B,Y,5,5,Paper,Paper,Tie
B,Y,5,5,Paper,Paper,Tie
A,Y,1,8,Rock,Paper,Win
C,X,6,6,Scissors,Scissors,Tie
B,Y,5,5,Paper,Paper,Tie
C,Y,9,2,Scissors,Paper,Loss
B,Y,5,5,Paper,Paper,Tie
B,X,2,9,Paper,Scissors,Win
A,Z,4,4,Rock,Rock,Tie
C,Y,9,2,Scissors,Paper,Loss
C,Y,9,2,Scissors,Paper,Loss
A,X,1,9,Rock,Scissors,Win
C,X,6,6,Scissors,Scissors,Tie
A,Z,4,4,Rock,Rock,Tie
C,X,6,6,Scissors,Scissors,Tie
B,Y,5,5,Paper,Paper,Tie
A,X,1,9,Rock,Scissors,Win
C,Z,9,1,Scissors,Rock,Loss
B,Y,5,5,Paper,Paper,Tie
C,X,6,6,Scissors,Scissors,Tie
B,Y,5,5,Paper,Paper,Tie
A,Z,4,4,Rock,Rock,Tie
A,Y,1,8,Rock,Paper,Win
B,Y,5,5,Paper,Paper,Tie
B,X,2,9,Paper,Scissors,Win
B,Y,5,5,Paper,Paper,Tie
C,Y,9,2,Scissors,Paper,Loss
C,Z,9,1,Scissors,Rock,Loss
B,Y,5,5,Paper,Paper,Tie
A,Z,4,4,Rock,Rock,Tie
A,X,1,9,Rock,Scissors,Win
B,X,2,9,Paper,Scissors,Win
C,X,6,6,Scissors,Scissors,Tie
C,Z,9,1,Scissors,Rock,Loss
B,Y,5,5,Paper,Paper,Tie
B,Y,5,5,Paper,Paper,Tie
C,X,6,6,Scissors,Scissors,Tie
C,Z,9,1,Scissors,Rock,Loss
A,Z,4,4,Rock,Rock,Tie
C,Y,9,2,Scissors,Paper,Loss
C,Z,9,1,Scissors,Rock,Loss
B,Y,5,5,Paper,Paper,Tie
A,Z,4,4,Rock,Rock,Tie
B,Y,5,5,Paper,Paper,Tie
B,Y,5,5,Paper,Paper,Tie
C,Z,9,1,Scissors,Rock,Loss
C,Z,9,1,Scissors,Rock,Loss
B,Y,5,5,Paper,Paper,Tie
C,Y,9,2,Scissors,Paper,Loss
B,Y,5,5,Paper,Paper,Tie
A,Z,4,4,Rock,Rock,Tie
B,X,2,9,Paper,Scissors,Win
B,Y,5,5,Paper,Paper,Tie
B,Y,5,5,Paper,Paper,Tie
C,X,6,6,Scissors,Scissors,Tie
A,Z,4,4,Rock,Rock,Tie
A,Z,4,4,Rock,Rock,Tie
B,Y,5,5,Paper,Paper,Tie
C,Y,9,2,Scissors,Paper,Loss
B,Y,5,5,Paper,Paper,Tie
A,Z,4,4,Rock,Rock,Tie
A,Y,1,8,Rock,Paper,Win
A,X,1,9,Rock,Scissors,Win
C,Z,9,1,Scissors,Rock,Loss
C,Y,9,2,Scissors,Paper,Loss
C,Z,9,1,Scissors,Rock,Loss
C,Z,9,1,Scissors,Rock,Loss
C,Z,9,1,Scissors,Rock,Loss
A,Z,4,4,Rock,Rock,Tie
B,Y,5,5,Paper,Paper,Tie
C,Z,9,1,Scissors,Rock,Loss
A,Z,4,4,Rock,Rock,Tie
C,Y,9,2,Scissors,Paper,Loss
A,Z,4,4,Rock,Rock,Tie
B,Y,5,5,Paper,Paper,Tie
B,Y,5,5,Paper,Paper,Tie
B,Y,5,5,Paper,Paper,Tie
A,Z,4,4,Rock,Rock,Tie
B,Y,5,5,Paper,Paper,Tie
B,X,2,9,Paper,Scissors,Win
B,Y,5,5,Paper,Paper,Tie
B,Y,5,5,Paper,Paper,Tie
B,Y,5,5,Paper,Paper,Tie
B,Y,5,5,Paper,Paper,Tie
B,Y,5,5,Paper,Paper,Tie
B,Y,5,5,Paper,Paper,Tie
A,X,1,9,Rock,Scissors,Win
C,Z,9,1,Scissors,Rock,Loss
B,X,2,9,Paper,Scissors,Win
B,Y,5,5,Paper,Paper,Tie
C,X,6,6,Scissors,Scissors,Tie
A,Z,4,4,Rock,Rock,Tie
B,Y,5,5,Paper,Paper,Tie
B,X,2,9,Paper,Scissors,Win
C,Y,9,2,Scissors,Paper,Loss
B,Y,5,5,Paper,Paper,Tie
C,Y,9,2,Scissors,Paper,Loss
B,Y,5,5,Paper,Paper,Tie
A,Z,4,4,Rock,Rock,Tie
B,Y,5,5,Paper,Paper,Tie
C,Y,9,2,Scissors,Paper,Loss
A,X,1,9,Rock,Scissors,Win
B,Y,5,5,Paper,Paper,Tie
C,X,6,6,Scissors,Scissors,Tie
B,X,2,9,Paper,Scissors,Win
B,Y,5,5,Paper,Paper,Tie
C,Z,9,1,Scissors,Rock,Loss
B,X,2,9,Paper,Scissors,Win
C,X,6,6,Scissors,Scissors,Tie
C,Y,9,2,Scissors,Paper,Loss
C,X,6,6,Scissors,Scissors,Tie
C,Y,9,2,Scissors,Paper,Loss
C,X,6,6,Scissors,Scissors,Tie
A,Z,4,4,Rock,Rock,Tie
C,X,6,6,Scissors,Scissors,Tie
B,Y,5,5,Paper,Paper,Tie
A,Z,4,4,Rock,Rock,Tie
B,X,2,9,Paper,Scissors,Win
A,Z,4,4,Rock,Rock,Tie
B,X,2,9,Paper,Scissors,Win
B,X,2,9,Paper,Scissors,Win
A,Z,4,4,Rock,Rock,Tie
C,Z,9,1,Scissors,Rock,Loss
A,Z,4,4,Rock,Rock,Tie
B,X,2,9,Paper,Scissors,Win
B,Z,8,1,Paper,Rock,Loss
C,X,6,6,Scissors,Scissors,Tie
C,Y,9,2,Scissors,Paper,Loss
A,X,1,9,Rock,Scissors,Win
A,Z,4,4,Rock,Rock,Tie
B,X,2,9,Paper,Scissors,Win
C,Y,9,2,Scissors,Paper,Loss
A,Z,4,4,Rock,Rock,Tie
C,Z,9,1,Scissors,Rock,Loss
B,Y,5,5,Paper,Paper,Tie
B,Y,5,5,Paper,Paper,Tie
C,Y,9,2,Scissors,Paper,Loss
B,Z,8,1,Paper,Rock,Loss
B,Y,5,5,Paper,Paper,Tie
B,Y,5,5,Paper,Paper,Tie
C,Y,9,2,Scissors,Paper,Loss
C,Z,9,1,Scissors,Rock,Loss
B,Y,5,5,Paper,Paper,Tie
A,Z,4,4,Rock,Rock,Tie
A,X,1,9,Rock,Scissors,Win
B,X,2,9,Paper,Scissors,Win
B,X,2,9,Paper,Scissors,Win
C,X,6,6,Scissors,Scissors,Tie
A,Z,4,4,Rock,Rock,Tie
C,Y,9,2,Scissors,Paper,Loss
B,Y,5,5,Paper,Paper,Tie
B,Y,5,5,Paper,Paper,Tie
A,Z,4,4,Rock,Rock,Tie
B,Y,5,5,Paper,Paper,Tie
A,Z,4,4,Rock,Rock,Tie
A,Z,4,4,Rock,Rock,Tie
B,Y,5,5,Paper,Paper,Tie
B,Y,5,5,Paper,Paper,Tie
B,Y,5,5,Paper,Paper,Tie
B,Y,5,5,Paper,Paper,Tie
C,X,6,6,Scissors,Scissors,Tie
B,Y,5,5,Paper,Paper,Tie
B,X,2,9,Paper,Scissors,Win
C,Z,9,1,Scissors,Rock,Loss
B,X,2,9,Paper,Scissors,Win
C,X,6,6,Scissors,Scissors,Tie
B,X,2,9,Paper,Scissors,Win
B,Y,5,5,Paper,Paper,Tie
B,Y,5,5,Paper,Paper,Tie
B,Y,5,5,Paper,Paper,Tie
A,Z,4,4,Rock,Rock,Tie
B,Y,5,5,Paper,Paper,Tie
A,X,1,9,Rock,Scissors,Win
A,Y,1,8,Rock,Paper,Win
C,X,6,6,Scissors,Scissors,Tie
B,X,2,9,Paper,Scissors,Win
B,Y,5,5,Paper,Paper,Tie
B,Y,5,5,Paper,Paper,Tie
C,Z,9,1,Scissors,Rock,Loss
A,Y,1,8,Rock,Paper,Win
C,Z,9,1,Scissors,Rock,Loss
C,Y,9,2,Scissors,Paper,Loss
A,Z,4,4,Rock,Rock,Tie
C,Z,9,1,Scissors,Rock,Loss
C,Z,9,1,Scissors,Rock,Loss
B,X,2,9,Paper,Scissors,Win
B,Y,5,5,Paper,Paper,Tie
A,Z,4,4,Rock,Rock,Tie
B,Y,5,5,Paper,Paper,Tie
C,X,6,6,Scissors,Scissors,Tie
C,Y,9,2,Scissors,Paper,Loss
C,Y,9,2,Scissors,Paper,Loss
B,X,2,9,Paper,Scissors,Win
B,Y,5,5,Paper,Paper,Tie
B,Z,8,1,Paper,Rock,Loss
A,Y,1,8,Rock,Paper,Win
A,Z,4,4,Rock,Rock,Tie
C,X,6,6,Scissors,Scissors,Tie
A,X,1,9,Rock,Scissors,Win
B,X,2,9,Paper,Scissors,Win
C,X,6,6,Scissors,Scissors,Tie
B,Y,5,5,Paper,Paper,Tie
B,Y,5,5,Paper,Paper,Tie
B,Y,5,5,Paper,Paper,Tie
B,X,2,9,Paper,Scissors,Win
C,X,6,6,Scissors,Scissors,Tie
B,Y,5,5,Paper,Paper,Tie
A,Z,4,4,Rock,Rock,Tie
A,Z,4,4,Rock,Rock,Tie
A,Y,1,8,Rock,Paper,Win
B,X,2,9,Paper,Scissors,Win
C,Y,9,2,Scissors,Paper,Loss
C,Z,9,1,Scissors,Rock,Loss
A,Z,4,4,Rock,Rock,Tie
A,Z,4,4,Rock,Rock,Tie
B,X,2,9,Paper,Scissors,Win
A,Z,4,4,Rock,Rock,Tie
C,Y,9,2,Scissors,Paper,Loss
B,Y,5,5,Paper,Paper,Tie
A,X,1,9,Rock,Scissors,Win
B,X,2,9,Paper,Scissors,Win
A,Z,4,4,Rock,Rock,Tie
B,Y,5,5,Paper,Paper,Tie
B,Y,5,5,Paper,Paper,Tie
B,Y,5,5,Paper,Paper,Tie
B,Y,5,5,Paper,Paper,Tie
C,Z,9,1,Scissors,Rock,Loss
C,Z,9,1,Scissors,Rock,Loss
A,Y,1,8,Rock,Paper,Win
B,Y,5,5,Paper,Paper,Tie
C,Z,9,1,Scissors,Rock,Loss
C,Z,9,1,Scissors,Rock,Loss
B,Y,5,5,Paper,Paper,Tie
B,X,2,9,Paper,Scissors,Win
A,Z,4,4,Rock,Rock,Tie
C,Y,9,2,Scissors,Paper,Loss
C,X,6,6,Scissors,Scissors,Tie
A,Z,4,4,Rock,Rock,Tie
A,Z,4,4,Rock,Rock,Tie
C,Y,9,2,Scissors,Paper,Loss
C,X,6,6,Scissors,Scissors,Tie
C,Y,9,2,Scissors,Paper,Loss
A,Y,1,8,Rock,Paper,Win
B,Y,5,5,Paper,Paper,Tie
C,X,6,6,Scissors,Scissors,Tie
B,Y,5,5,Paper,Paper,Tie
B,X,2,9,Paper,Scissors,Win
C,Z,9,1,Scissors,Rock,Loss
C,X,6,6,Scissors,Scissors,Tie
C,Y,9,2,Scissors,Paper,Loss
B,Y,5,5,Paper,Paper,Tie
B,Y,5,5,Paper,Paper,Tie
A,Z,4,4,Rock,Rock,Tie
B,Y,5,5,Paper,Paper,Tie
C,Z,9,1,Scissors,Rock,Loss
C,Y,9,2,Scissors,Paper,Loss
B,X,2,9,Paper,Scissors,Win
B,Y,5,5,Paper,Paper,Tie
A,Z,4,4,Rock,Rock,Tie
A,Z,4,4,Rock,Rock,Tie
B,X,2,9,Paper,Scissors,Win
B,Y,5,5,Paper,Paper,Tie
A,X,1,9,Rock,Scissors,Win
A,Z,4,4,Rock,Rock,Tie
B,Y,5,5,Paper,Paper,Tie
B,Y,5,5,Paper,Paper,Tie
B,Y,5,5,Paper,Paper,Tie
B,Y,5,5,Paper,Paper,Tie
B,Y,5,5,Paper,Paper,Tie
C,Y,9,2,Scissors,Paper,Loss
B,Y,5,5,Paper,Paper,Tie
B,Y,5,5,Paper,Paper,Tie
C,Y,9,2,Scissors,Paper,Loss
B,Y,5,5,Paper,Paper,Tie
B,Y,5,5,Paper,Paper,Tie
C,Z,9,1,Scissors,Rock,Loss
B,Y,5,5,Paper,Paper,Tie
A,X,1,9,Rock,Scissors,Win
C,Y,9,2,Scissors,Paper,Loss
B,Y,5,5,Paper,Paper,Tie
A,Z,4,4,Rock,Rock,Tie
B,Y,5,5,Paper,Paper,Tie
C,Z,9,1,Scissors,Rock,Loss
C,Z,9,1,Scissors,Rock,Loss
C,Y,9,2,Scissors,Paper,Loss
A,Y,1,8,Rock,Paper,Win
B,Y,5,5,Paper,Paper,Tie
A,Z,4,4,Rock,Rock,Tie
A,X,1,9,Rock,Scissors,Win
C,Y,9,2,Scissors,Paper,Loss
C,Z,9,1,Scissors,Rock,Loss
C,Y,9,2,Scissors,Paper,Loss
C,Z,9,1,Scissors,Rock,Loss
C,Z,9,1,Scissors,Rock,Loss
C,Y,9,2,Scissors,Paper,Loss
B,X,2,9,Paper,Scissors,Win
B,Y,5,5,Paper,Paper,Tie
B,Y,5,5,Paper,Paper,Tie
C,Z,9,1,Scissors,Rock,Loss
C,X,6,6,Scissors,Scissors,Tie
A,Y,1,8,Rock,Paper,Win
C,Y,9,2,Scissors,Paper,Loss
B,Y,5,5,Paper,Paper,Tie
B,Y,5,5,Paper,Paper,Tie
A,Y,1,8,Rock,Paper,Win
A,Y,1,8,Rock,Paper,Win
C,X,6,6,Scissors,Scissors,Tie
C,Y,9,2,Scissors,Paper,Loss
A,Z,4,4,Rock,Rock,Tie
A,Z,4,4,Rock,Rock,Tie
A,X,1,9,Rock,Scissors,Win
B,Z,8,1,Paper,Rock,Loss
B,X,2,9,Paper,Scissors,Win
A,X,1,9,Rock,Scissors,Win
A,Y,1,8,Rock,Paper,Win
A,Z,4,4,Rock,Rock,Tie
B,Y,5,5,Paper,Paper,Tie
C,Y,9,2,Scissors,Paper,Loss
B,X,2,9,Paper,Scissors,Win
B,Y,5,5,Paper,Paper,Tie
B,Y,5,5,Paper,Paper,Tie
C,Z,9,1,Scissors,Rock,Loss
C,X,6,6,Scissors,Scissors,Tie
B,Y,5,5,Paper,Paper,Tie
B,Y,5,5,Paper,Paper,Tie
B,Y,5,5,Paper,Paper,Tie
B,Y,5,5,Paper,Paper,Tie
C,Y,9,2,Scissors,Paper,Loss
B,Y,5,5,Paper,Paper,Tie
B,X,2,9,Paper,Scissors,Win
